Misumenops biannulipes (Mello-Leitão, 1929) | Brazil
Misumenops bivittatus (Keyserling, 1880) | Brazil, Uruguay
Misumenops callinurus Mello-Leitão, 1929 | Brazil
Misumenops candidoi (Caporiacco, 1948) | Guyana
Misumenops carneus Mello-Leitão, 1944 | Argentina
Misumenops conspersus (Keyserling, 1880) | Peru
Misumenops consuetus (Banks, 1898) | Mexico
Misumenops croceus (Keyserling, 1880) | Colombia to Paraguay
Misumenops curadoi Soares, 1943 | Brazil
Misumenops fluminensis Mello-Leitão, 1929 | Brazil
Misumenops gibbosus (Blackwall, 1862) | Brazil
Misumenops gracilis (Keyserling, 1880) | Mexico
Misumenops guianensis (Taczanowski, 1872) | Venezuela, Brazil, French Guiana, Paraguay
Misumenops haemorrhous Mello-Leitão, 1949 | Brazil
Misumenops ignobilis (Badcock, 1932) | Paraguay, Argentina
Misumenops lacticeps (Mello-Leitão, 1944) | Argentina
Misumenops lenis (Keyserling, 1880) | Brazil
Misumenops longispinosus (Mello-Leitão, 1949) | Brazil
Misumenops maculissparsus (Keyserling, 1891) | Brazil, Argentina
Misumenops mexicanus (Keyserling, 1880) | Mexico
Misumenops ocellatus (Tullgren, 1905) | Bolivia, Argentina
Misumenops octoguttatus Mello-Leitão, 1941 | Argentina
Misumenops pallens (Keyserling, 1880) | Guatemala to Argentina
Misumenops pallidus (Keyserling, 1880) | Colombia to Argentina
Misumenops pascalis (O. Pickard-Cambridge, 1891) | Panama
Misumenops punctatus (Keyserling, 1880) | Peru
Misumenops robustus Simon, 1929 | Venezuela, Peru, Brazil
Misumenops roseofuscus Mello-Leitão, 1944 | Argentina
Misumenops schiapelliae Mello-Leitão, 1944 | Argentina
Misumenops silvarum Mello-Leitão, 1929 | Brazil
Misumenops spinifer (Piza, 1937) | Brazil
Misumenops spinitarsis Mello-Leitão, 1932 | Brazil
Misumenops splendens (Keyserling, 1880) | Mexico
Misumenops temibilis (Holmberg, 1876) | Chile, Argentina
Misumenops variegatus (Keyserling, 1880) | Peru
Misumenops varius (Keyserling, 1880) | Colombia
Misumenops zeugma Mello-Leitão, 1929 | Brazil
Misumessus bishopae Edwards, 2017 | Puerto Rico, Dominica, Grenadines?
Misumessus quinteroi Edwards, 2017 | Central America, Caribbean
Modysticus imitatus (Gertsch, 1953) | Mexico
Monaeses lucasi (Taczanowski, 1872) | Guyana
Onocolus ankeri Teixeira & Machado, 2019 | Colombia, Brazil
Onocolus biocellatus Mello-Leitão, 1948 | Guyana
Onocolus compactilis Simon, 1895 | Peru, Brazil
Onocolus echinatus (Taczanowski, 1872) | Venezuela to Brazil
Onocolus echinicaudus Mello-Leitão, 1929 | Brazil, Paraguay
Onocolus echinurus Mello-Leitão, 1929 | Brazil
Onocolus eloaeus Lise, 1980 | Brazil
Onocolus garruchus Lise, 1979 | Brazil
Onocolus granulosus Mello-Leitão, 1929 | Peru, Brazil
Onocolus infelix Mello-Leitão, 1941 | Brazil
Onocolus intermedius (Mello-Leitão, 1929) | Brazil, Paraguay
Onocolus latiductus Lise, 1980 | South America
Onocolus mitralis Lise, 1979 | Venezuela, Brazil
Onocolus pentagonus (Keyserling, 1880) | Panama to Brazil
Onocolus perditus Mello-Leitão, 1929 | Brazil
Onocolus simoni Mello-Leitão, 1915 | Brazil, Peru
Onocolus trifolius Mello-Leitão, 1929 | Brazil
Parasynema cambridgei Roewer, 1951 | Guatemala
Parasynema cirripes (O. Pickard-Cambridge, 1891) | Mexico to El Salvador
Paratobias championi F. O. Pickard-Cambridge, 1900 | Panama
Philogaeus campestratus Simon, 1895 | Brazil
Philogaeus echimys Mello-Leitão, 1943 | Chile
Phireza sexmaculata Simon, 1886 | Brazil
Physoplatys nitidus Simon, 1895 | Paraguay
Platyarachne episcopalis (Taczanowski, 1872) | French Guiana
Platyarachne histrio Simon, 1895 | Brazil
Platyarachne scopulifera Simon, 1895 | Peru
Psammitis laticeps (Bryant, 1933) | USA, Cuba
Rejanellus granulatus (Bryant, 1940) | Cuba
Rejanellus mutchleri (Petrunkevitch, 1930) | Puerto Rico
Rejanellus pallescens (Bryant, 1940) | Cuba, Hispaniola
Rejanellus venustus (Bryant, 1948) | Hispaniola
Runcinioides argenteus Mello-Leitão, 1929 | French Guiana, Brazil, Argentina
Runcinioides litteratus (Piza, 1933) | Brazil
Runcinioides pustulatus Mello-Leitão, 1929 | Brazil
Runcinioides souzai Soares, 1942 | Brazil
Sidymella badia (Keyserling, 1880) | Colombia
Sidymella excavata Machado & Guzati, 2019 | Colombia, Ecuador, Peru, Argentina
Sidymella furcillata (Keyserling, 1880) | Brazil, Argentina
Sidymella jordanensis (Soares, 1944) | Brazil
Sidymella kolpogaster (Lise, 1973) | Brazil
Sidymella longispina (Mello-Leitão, 1943) | Brazil, Argentina
Sidymella lucida (Keyserling, 1880) | Colombia, Ecuador, Brazil, Uruguay, Argentina
Sidymella marmorata Machado & Guzati, 2019 | Colombia, Ecuador
Sidymella nigripes (Mello-Leitão, 1947) | Brazil
Sidymella sigillata (Mello-Leitão, 1941) | Uruguay
Stephanopoides brasiliana Keyserling, 1880 | Panama, Colombia, Brazil
Stephanopoides cognata O. Pickard-Cambridge, 1892 | Panama, Venezuela, Colombia, Brazil
Stephanopoides sexmaculata Mello-Leitão, 1929 | Brazil, Argentina
Stephanopoides simoni Keyserling, 1880 | Panama, Venezuela, Colombia, Bolivia, Peru, Guyana, Brazil
Strophius albofasciatus Mello-Leitão, 1929 | Brazil
